employee_id,home_area,latitude,longitude,distance_to_workplace_km,walk_to_station_min,waiting_time_min,public_transport_min,transfer_count,station_to_work_min,door_to_door_min,commute_group,connectivity_score,adoption_score,adoption_category
EMP0001,Hamburg-Bergedorf,53.506588,10.19001,31.34,5.8,4.8,48.3,0,10.8,69.6,>60 min,49.2,45.4,Medium
EMP0002,Hamburg-Nord,53.616884,10.042067,2.82,4.9,7.4,26.7,1,11.3,54.3,46–60 min,57.1,55.7,Medium
EMP0003,Hamburg-Harburg,53.508831,10.019444,36.88,9.1,11.2,33.8,3,9.9,76.0,>60 min,24.7,25.7,Low
EMP0004,Hamburg-Wandsbek,53.570493,10.102187,17.62,7.7,7.9,44.1,2,9.1,76.7,>60 min,31.9,31.7,Low
EMP0005,Hamburg-Altona,53.595269,9.919978,12.59,8.0,7.3,39.4,1,9.0,67.6,>60 min,44.9,42.9,Medium
EMP0006,Ahrensburg,53.690493,10.243497,21.98,3.0,4.5,35.8,0,4.9,48.2,46–60 min,76.0,75.3,High
EMP0007,Hamburg-Bergedorf,53.526567,10.232097,36.27,8.9,9.5,52.9,3,9.2,92.6,>60 min,18.3,19.3,Low
EMP0008,Hamburg-Bergedorf,53.451582,10.259086,34.06,6.5,9.6,43.8,2,9.5,77.3,>60 min,32.2,32.1,Low
EMP0009,Hamburg-Altona,53.523331,9.948125,23.26,10.1,3.9,27.9,0,8.3,50.2,46–60 min,63.8,60.0,Medium
EMP0010,Hamburg-Nord,53.622335,10.02355,12.9,4.3,9.4,30.9,1,7.4,56.0,46–60 min,60.2,60.1,Medium
EMP0011,Hamburg-Eimsbüttel,53.586376,9.986128,9.57,9.3,7.9,43.6,2,7.5,76.4,>60 min,32.1,31.8,Low
EMP0012,Norderstedt,53.69567,10.017975,2.0,5.8,2.0,13.1,0,7.4,28.3,≤30 min,87.8,86.0,High
EMP0013,Hamburg-Wandsbek,53.587167,10.083864,24.6,16.4,4.7,49.5,0,6.2,76.8,>60 min,36.9,31.1,Low
EMP0014,Hamburg-Harburg,53.455255,10.003848,24.42,6.8,4.4,32.7,0,3.8,47.7,46–60 min,73.8,72.4,High
EMP0015,Hamburg-Nord,53.647259,10.053903,17.84,8.5,6.0,39.8,0,6.0,60.4,>60 min,59.0,56.1,Medium
EMP0016,Hamburg-Eimsbüttel,53.607589,9.971006,11.23,9.8,3.8,36.2,1,9.8,63.6,>60 min,45.7,43.1,Medium
EMP0017,Hamburg-Nord,53.599162,10.030561,18.8,12.5,6.7,20.8,1,7.2,51.1,46–60 min,56.4,54.0,Medium
EMP0018,Hamburg-Altona,53.543895,9.98814,18.89,5.0,4.5,34.0,0,9.4,52.9,46–60 min,65.5,62.9,Medium
